row_index,biet_duoc,link_slot,url,file_id,status,http_status,local_path,file_size
64,Savxiga 10,1,https://drive.google.com/file/d/1A6mNuwPVfYDtfzu30cXZZaALyubFujjw/view?usp=drive_link,1A6mNuwPVfYDtfzu30cXZZaALyubFujjw,ok,200,dataset\hdsd_raw\0064_Savxiga_10_1_1A6mNuwPVfYDtfzu30cXZZaALyubFujjw.pdf,4193477
65,SavNopain 250,1,https://drive.google.com/file/d/1vQTrCaOJoChmDTzDmfGyekubbKvdrw5q/view?usp=drive_link,1vQTrCaOJoChmDTzDmfGyekubbKvdrw5q,ok,200,dataset\hdsd_raw\0065_SavNopain_250_1_1vQTrCaOJoChmDTzDmfGyekubbKvdrw5q.pdf,4941788
66,Savjenta 5,1,https://drive.google.com/file/d/1-ci1oHBy3kLuPLhA9rPhAsXtM2YWAsKN/view?usp=drive_link,1-ci1oHBy3kLuPLhA9rPhAsXtM2YWAsKN,ok,200,dataset\hdsd_raw\0066_Savjenta_5_1_1-ci1oHBy3kLuPLhA9rPhAsXtM2YWAsKN.pdf,2306370
67,SaViDimin,1,https://drive.google.com/file/d/1Xt0XcnFUlqlrRw27dB_6yRj_SfenWfU_/view?usp=drive_link,1Xt0XcnFUlqlrRw27dB_6yRj_SfenWfU_,ok,200,dataset\hdsd_raw\0067_SaViDimin_1_1Xt0XcnFUlqlrRw27dB_6yRj_SfenWfU_.pdf,4578397
68,SaVi Valsartan Plus HCT 80/12.5,1,https://drive.google.com/file/d/1v2C8vxaKH3KjmnzAIMdBpDXovlECPJIf/view?usp=drive_link,1v2C8vxaKH3KjmnzAIMdBpDXovlECPJIf,ok,200,dataset\hdsd_raw\0068_SaVi_Valsartan_Plus_HCT_80_12_5_1_1v2C8vxaKH3KjmnzAIMdBpDXovlECPJIf.pdf,17608188
69,Savi Valsartan 80,1,https://drive.google.com/file/d/1OHvccWGlVSQoHkBrfiQJmIDfSPD23cN-/view?usp=drive_link,1OHvccWGlVSQoHkBrfiQJmIDfSPD23cN-,ok,200,dataset\hdsd_raw\0069_Savi_Valsartan_80_1_1OHvccWGlVSQoHkBrfiQJmIDfSPD23cN-.pdf,6372229
70,SaVi Valsartan 160,1,https://drive.google.com/file/d/1XB_YMGUJTv8fSu0R9ilgDHLZEQQyQ86o/view?usp=drive_link,1XB_YMGUJTv8fSu0R9ilgDHLZEQQyQ86o,ok,200,dataset\hdsd_raw\0070_SaVi_Valsartan_160_1_1XB_YMGUJTv8fSu0R9ilgDHLZEQQyQ86o.pdf,9195653
71,SaVi Rosuvastatin 10,1,https://drive.google.com/file/d/1VXVsaUzkkvHMZfCF8TQMwOh7iI2czw6L/view?usp=drive_link,1VXVsaUzkkvHMZfCF8TQMwOh7iI2czw6L,ok,200,dataset\hdsd_raw\0071_SaVi_Rosuvastatin_10_1_1VXVsaUzkkvHMZfCF8TQMwOh7iI2czw6L.pdf,2623409
72,SaVi Pantoprazole 40,1,https://drive.google.com/file/d/1SECpP3yzRloFlX5HEdcyNHQHOr-uWEJa/view?usp=drive_link,1SECpP3yzRloFlX5HEdcyNHQHOr-uWEJa,ok,200,dataset\hdsd_raw\0072_SaVi_Pantoprazole_40_1_1SECpP3yzRloFlX5HEdcyNHQHOr-uWEJa.pdf,2321074
73,SaVi Betahistine 16,1,https://drive.google.com/file/d/1co1t8NDMOueyJuchaWvem_d_cxFb6WMJ/view?usp=drive_link,1co1t8NDMOueyJuchaWvem_d_cxFb6WMJ,ok,200,dataset\hdsd_raw\0073_SaVi_Betahistine_16_1_1co1t8NDMOueyJuchaWvem_d_cxFb6WMJ.pdf,1662523
74,SaVi Albendazol 200,1,https://drive.google.com/file/d/1UL_jZopszkmfSjAp9XY2316XduiwvXY-/view?usp=drive_link,1UL_jZopszkmfSjAp9XY2316XduiwvXY-,ok,200,dataset\hdsd_raw\0074_SaVi_Albendazol_200_1_1UL_jZopszkmfSjAp9XY2316XduiwvXY-.pdf,8308726
75,SaVi Lisinopril 5,1,https://drive.google.com/file/d/1oNvAv31L1aQVsqES4-4gAtH33ks4wSqi/view?usp=drive_link,1oNvAv31L1aQVsqES4-4gAtH33ks4wSqi,ok,200,dataset\hdsd_raw\0075_SaVi_Lisinopril_5_1_1oNvAv31L1aQVsqES4-4gAtH33ks4wSqi.pdf,2094959
76,Rianam,1,https://drive.google.com/file/d/1WULo2KSdQMMwIzZjXXqSHnCc2y_TreZn/view?usp=drive_link,1WULo2KSdQMMwIzZjXXqSHnCc2y_TreZn,ok,200,dataset\hdsd_raw\0076_Rianam_1_1WULo2KSdQMMwIzZjXXqSHnCc2y_TreZn.pdf,4638553
77,RESIDRON,1,https://drive.google.com/file/d/1Tx3ueweU0FoG6IqTgUsKle0cjQS2eGhy/view?usp=drive_link,1Tx3ueweU0FoG6IqTgUsKle0cjQS2eGhy,ok,200,dataset\hdsd_raw\0077_RESIDRON_1_1Tx3ueweU0FoG6IqTgUsKle0cjQS2eGhy.pdf,1790016
78,Sitagliptin 100,1,https://drive.google.com/file/d/1iyShWMtubVOdQsgu3vO5DCo6etPyRBD7/view?usp=drive_link,1iyShWMtubVOdQsgu3vO5DCo6etPyRBD7,ok,200,dataset\hdsd_raw\0078_Sitagliptin_100_1_1iyShWMtubVOdQsgu3vO5DCo6etPyRBD7.pdf,9262213
79,SaVi Gemfibrozil 600,1,https://drive.google.com/file/d/1hOun4hWRpHh7D3TDBZrd2NvlpEjwKkCy/view?usp=drive_link,1hOun4hWRpHh7D3TDBZrd2NvlpEjwKkCy,ok,200,dataset\hdsd_raw\0079_SaVi_Gemfibrozil_600_1_1hOun4hWRpHh7D3TDBZrd2NvlpEjwKkCy.pdf,3244146
